Date,Open,High,Low,Close,Volume,Adj Close
2010-03-23,19.415001,19.445,19.112499,19.275,4934800,19.275
2010-03-24,19.147499,19.3025,18.987499,19.040001,4733600,19.040001
2010-03-25,19.17,19.389999,18.987499,18.9925,5840800,18.9925
2010-03-26,19.049999,19.075001,18.657499,18.737499,4206400,18.737499
2010-03-29,18.8025,18.8575,18.615,18.692499,4227200,18.692499
2010-03-30,18.799999,19.125,18.692499,18.852501,7784000,18.852501
2010-03-31,18.8225,18.879999,18.5725,18.612499,4547200,18.612499
2010-04-01,18.780001,19.025,18.67,18.885,4212800,18.885
2010-04-05,18.977501,19.237499,18.969999,19.2125,3449200,19.2125
2010-04-06,19.102501,19.860001,19.032499,19.7075,9928800,19.7075
2010-04-07,19.700001,19.700001,19.17,19.295,7023600,19.295
2010-04-08,19.1775,19.525,19.040001,19.487499,6352800,19.487499
2010-04-09,19.639999,19.9725,19.352501,19.942499,7682400,19.942499
2010-04-12,19.997499,20.307501,19.872499,20.127501,9838000,20.127501
2010-04-13,20.09,20.1675,19.92,20.1075,5231600,20.1075
2010-04-14,20.4825,20.9925,20.415001,20.967501,8835600,20.967501
2010-04-15,20.997499,21.0975,20.7775,20.932501,5531600,20.932501
2010-04-16,20.91,21.23,20.754999,20.870001,9941200,20.870001
2010-04-19,20.7575,20.9625,20.25,20.6625,7141600,20.6625
2010-04-20,20.895,21.155001,20.7575,21.120001,4295200,21.120001
2010-04-21,21.209999,21.297501,20.987499,21.27,6288800,21.27
2010-04-22,21.2125,22.355,21.0,22.174999,10038800,22.174999
2010-04-23,22.122499,22.295,21.625,22.040001,6087600,22.040001
2010-04-26,22.1625,22.375,22.047501,22.122499,3881600,22.122499
2010-04-27,22.297501,22.297501,21.385,21.452499,5118400,21.452499
2010-04-28,21.612499,21.615,21.202499,21.5375,5870800,21.5375
2010-04-29,21.7075,22.0875,21.5725,22.035,4074400,22.035
2010-04-30,22.1,22.1,21.375,21.4,4456800,21.4
2010-05-03,21.52,22.067499,21.4375,21.93,4634000,21.93
2010-05-04,22.25,22.3225,21.3325,21.647499,9104800,21.647499
2010-05-05,21.375,21.610001,21.157499,21.305,7292400,21.305
2010-05-06,21.2425,21.535,19.0,20.225,16295200,20.225
2010-05-07,20.2425,20.3475,19.045,19.379999,13885600,19.379999
2010-05-10,20.6175,21.395,20.540001,21.372499,11520800,21.372499
2010-05-11,20.99,21.975,20.9575,21.549999,10001200,21.549999
2010-05-12,21.709999,22.139999,21.709999,22.1,9828400,22.1
2010-05-13,22.1,22.459999,21.6075,21.67,11328400,21.67
2010-05-14,21.504999,21.567499,20.8225,21.18,7905200,21.18
2010-05-17,21.379999,21.695,20.625,21.309999,6710000,21.309999
2010-05-18,21.75,21.9175,20.844999,21.040001,7692800,21.040001
2010-05-19,20.7125,20.934999,19.940001,20.4,10582400,20.4
2010-05-20,19.719999,20.317499,19.4725,19.7575,17455600,19.7575
2010-05-21,18.485001,21.0175,18.477501,20.809999,43596800,20.809999
2010-05-24,20.5825,21.254999,20.530001,20.547501,9276000,20.547501
2010-05-25,20.004999,20.5625,19.700001,20.532499,11385600,20.532499
2010-05-26,20.690001,21.4475,20.615,20.9375,12684800,20.9375
2010-05-27,21.4175,21.75,21.344999,21.75,10038000,21.75
2010-05-28,21.567499,21.875,21.34,21.6325,9415600,21.6325
2010-06-01,21.077499,21.7425,21.077499,21.2225,8402400,21.2225
2010-06-02,21.4825,22.110001,21.192499,22.110001,7461600,22.110001
2010-06-03,22.35,23.945,22.317499,23.799999,26548800,23.799999
2010-06-04,23.125,24.0875,22.184999,22.41,25813600,22.41
2010-06-07,22.52,22.872499,21.905001,21.975,10798400,21.975
2010-06-08,22.275,22.434999,21.594999,22.0,14485600,22.0
2010-06-09,22.290001,22.9825,22.1425,22.254999,9701200,22.254999
2010-06-10,22.84,23.1625,22.584999,23.105,9740000,23.105
2010-06-11,22.622499,24.217501,22.622499,24.16,14185600,24.16
2010-06-14,24.237499,24.272499,23.3225,23.375,15007600,23.375
2010-06-15,23.577499,23.905001,23.3575,23.752501,13090400,23.752501
2010-06-16,23.555,23.7675,23.282499,23.584999,10197200,23.584999
2010-06-17,23.7425,24.395,23.5825,24.275,14103200,24.275
2010-06-18,24.219999,24.25,23.8375,23.93,10055600,23.93
2010-06-21,24.35,24.485001,23.6425,23.852501,11048400,23.852501
2010-06-22,23.725,23.952499,22.8325,22.975,13329600,22.975
2010-06-23,23.1875,23.450001,22.690001,23.235001,11338400,23.235001
2010-06-24,23.377501,23.41,22.5975,22.76,11480400,22.76
2010-06-25,22.952499,22.995001,22.42,22.905001,8297200,22.905001
2010-06-28,22.9725,23.0825,22.717501,22.82,6393200,22.82
2010-06-29,22.4275,22.4275,21.125,21.352501,15199200,21.352501
2010-06-30,21.264999,21.8925,21.2225,21.455,15501600,21.455
2010-07-01,21.415001,21.905001,20.9025,21.7675,13087200,21.7675
2010-07-02,21.83,22.237499,21.59,21.7775,9820800,21.7775
2010-07-06,22.205,22.5425,21.737499,22.0275,10732400,22.0275
2010-07-07,22.002501,22.870001,21.9475,22.844999,11062000,22.844999
2010-07-08,23.2225,23.27,22.525,22.8925,7910800,22.8925
2010-07-09,22.855,23.092501,22.73,22.945,4437200,22.945
2010-07-12,22.8575,23.1875,22.629999,22.9625,4533600,22.9625
2010-07-13,23.217501,23.57,23.0,23.4125,6200400,23.4125
2010-07-14,23.74,24.1075,23.594999,23.932501,8605200,23.932501
2010-07-15,23.975,24.0525,23.6075,23.997499,6092400,23.997499
2010-07-16,23.8225,23.8475,22.9475,23.012501,7004400,23.012501
2010-07-19,23.0075,23.387501,22.887501,23.157499,7998400,23.157499
2010-07-20,22.6425,23.3225,22.362499,23.280001,6506800,23.280001
2010-07-21,23.424999,23.620001,22.955,23.040001,5971600,23.040001
2010-07-22,23.432501,24.1075,23.375,23.9825,6374400,23.9825
2010-07-23,23.93,25.075001,23.672501,24.942499,12543200,24.942499
2010-07-26,25.0,25.372499,24.717501,25.0175,10813600,25.0175
2010-07-27,25.1525,25.245001,24.4375,24.700001,6792000,24.700001
2010-07-28,24.635,24.9375,24.3675,24.5275,4661600,24.5275
2010-07-29,24.870001,24.995001,24.067499,24.4475,6449600,24.4475
2010-07-30,24.2125,24.860001,24.025,24.737499,5489200,24.737499
2010-08-02,25.275,25.622499,25.014999,25.477501,6564400,25.477501
2010-08-03,25.4475,25.4925,25.0625,25.252501,5140000,25.252501
2010-08-04,25.299999,25.942499,25.245001,25.889999,5920000,25.889999
2010-08-05,25.865,25.865,25.475,25.672501,4642400,25.672501
2010-08-06,25.355,25.605,24.969999,25.5825,5499600,25.5825
2010-08-09,25.59,26.110001,25.5375,26.014999,6108400,26.014999
2010-08-10,25.49,25.615,25.217501,25.4125,7448000,25.4125
2010-08-11,24.780001,24.8125,24.309999,24.477501,9782400,24.477501
2010-08-12,23.924999,24.450001,23.775,24.237499,10554000,24.237499
2010-08-13,24.245001,24.549999,24.1175,24.309999,7770400,24.309999
2010-08-16,24.2225,24.370001,23.9375,24.157499,7285200,24.157499
2010-08-17,24.5975,25.16,24.377501,24.8325,9106400,24.8325
2010-08-18,24.875,24.9725,24.4925,24.8325,7196000,24.8325
2010-08-19,24.860001,24.975,24.09,24.102501,13326800,24.102501
2010-08-20,26.0625,28.247499,26.035,28.1875,42439200,28.1875
2010-08-23,27.68,28.35,27.1875,28.07,27180400,28.07
2010-08-24,27.110001,28.5375,27.075001,28.3225,27593200,28.3225
2010-08-25,27.955,28.360001,27.34,28.047501,18384000,28.047501
2010-08-26,28.067499,28.325001,27.450001,27.459999,13586400,27.459999
2010-08-27,27.6325,28.049999,26.8125,27.870001,12054800,27.870001
2010-08-30,27.5425,28.07,27.2675,27.2925,8872800,27.2925
2010-08-31,27.1325,27.6625,27.077499,27.469999,12160400,27.469999
2010-09-01,27.9725,29.202499,27.825001,29.1,20854800,29.1
2010-09-02,28.9925,29.897499,28.907499,29.780001,14759600,29.780001
2010-09-03,29.940001,30.362499,29.59,29.907499,16477200,29.907499
2010-09-07,29.754999,30.112499,29.7125,29.9125,7971600,29.9125
2010-09-08,30.1075,30.3225,29.785,29.9475,8782000,29.9475
2010-09-09,30.49,30.5,29.3125,29.4125,10284000,29.4125
2010-09-10,29.627501,29.842501,29.127501,29.355,9489600,29.355
2010-09-13,29.717501,30.0,29.225,29.647499,10162800,29.647499
2010-09-14,29.1875,29.725,29.127501,29.445,11873600,29.445
2010-09-15,29.372499,29.4375,28.825001,29.202499,9294800,29.202499
2010-09-16,29.09,29.424999,28.985001,29.23,8204000,29.23
2010-09-17,29.495001,29.549999,28.9375,29.184999,10694000,29.184999
2010-09-20,29.4575,30.942499,29.305,30.785,16048000,30.785
2010-09-21,30.695,30.735001,30.174999,30.3475,9337600,30.3475
2010-09-22,30.3375,30.372499,29.5,29.672501,10432800,29.672501
2010-09-23,29.475,29.860001,29.1775,29.372499,8086400,29.372499
2010-09-24,29.924999,30.262501,29.67,29.834999,10028000,29.834999
2010-09-27,29.827499,29.887501,29.2075,29.26,6844400,29.26
2010-09-28,29.469999,29.5,28.415001,28.692499,12415200,28.692499
2010-09-29,28.7325,28.945,27.795,28.395,15104000,28.395
2010-09-30,28.68,29.1,27.9375,27.950001,13821600,27.950001
2010-10-01,28.272499,28.2875,27.629999,28.0,10276400,28.0
2010-10-04,27.922501,28.247499,27.469999,28.02,9086400,28.02
2010-10-05,28.5,28.727501,28.105,28.477501,10483200,28.477501
2010-10-06,28.530001,28.530001,24.48,26.237499,64562800,26.237499
2010-10-07,26.705,26.747499,25.567499,26.23,28779200,26.23
2010-10-08,26.2225,26.702499,25.727501,26.467501,14123600,26.467501
2010-10-11,26.452499,26.4725,24.940001,24.977501,23921200,24.977501
2010-10-12,24.952499,26.594999,24.690001,26.3675,25572000,26.3675
2010-10-13,26.719999,27.297501,26.5075,26.827499,18388400,26.827499
2010-10-14,26.8825,26.985001,26.262501,26.84,10725600,26.84
2010-10-15,27.1,27.192499,26.7075,27.094999,9300400,27.094999
2010-10-18,27.23,27.23,25.995001,26.407499,13386400,26.407499
2010-10-19,25.272499,26.342501,25.112499,25.907499,12371200,25.907499
2010-10-20,26.127501,26.450001,25.549999,26.1075,7460800,26.1075
2010-10-21,26.202499,26.885,26.025,26.325001,7202000,26.325001
2010-10-22,26.3675,27.217501,26.172501,26.985001,6678400,26.985001
2010-10-25,27.407499,28.4125,27.377501,28.137501,15242000,28.137501
2010-10-26,27.9175,28.195,27.5825,27.965,8191600,27.965
2010-10-27,28.6075,28.987499,28.012501,28.764999,11044800,28.764999
2010-10-28,28.879999,29.032499,28.1325,28.75,6473600,28.75
2010-10-29,28.7125,29.25,28.575001,29.0175,6098800,29.0175
2010-11-01,29.084999,29.112499,28.155001,28.4375,7495200,28.4375
2010-11-02,28.567499,28.997499,28.27,28.8575,5524000,28.8575
2010-11-03,28.9475,29.227501,28.41,29.112499,8425600,29.112499
2010-11-04,29.5,29.84,28.397499,28.5075,12630400,28.5075
2010-11-05,28.700001,28.785,28.1075,28.2925,8197600,28.2925
2010-11-08,28.475,29.0975,28.125,28.625,9884400,28.625
2010-11-09,28.545,28.82,28.182501,28.692499,9503200,28.692499
2010-11-10,28.695,29.522499,28.610001,29.469999,10510800,29.469999
2010-11-11,28.827499,29.522499,28.387501,29.182501,9027200,29.182501
2010-11-12,28.895,29.540001,28.66,28.752501,7510400,28.752501
2010-11-15,28.825001,29.0,28.327499,28.407499,8118000,28.407499
2010-11-16,28.127501,28.407499,27.3025,27.754999,9161600,27.754999
2010-11-17,27.8025,28.165001,27.372499,27.5375,9602000,27.5375
2010-11-18,28.2875,29.129999,28.182501,28.942499,20036800,28.942499
2010-11-19,31.6,34.327499,31.6,34.185001,63398800,34.185001
2010-11-22,33.825001,35.047501,33.82,34.9575,22693600,34.9575
2010-11-23,34.314999,35.735001,34.299999,35.625,25506800,35.625
2010-11-24,35.452499,36.357498,35.16,36.2925,17630000,36.2925
2010-11-26,35.575001,36.612499,35.575001,36.4575,6282400,36.4575
2010-11-29,36.0,36.5,35.657501,35.952499,13376000,35.952499
2010-11-30,35.537498,36.037498,34.779999,34.805,23892800,34.805
2010-12-01,35.517502,36.244999,35.48,36.009998,12007600,36.009998
2010-12-02,36.055,36.369999,35.587502,35.755001,12354800,35.755001
2010-12-03,35.474998,36.047501,35.474998,35.702499,8988400,35.702499
2010-12-06,35.997501,36.419998,35.279999,36.307499,10564000,36.307499
2010-12-07,37.25,37.424999,36.2775,36.310001,15427200,36.310001
2010-12-08,37.272499,37.66,36.5,37.645,16046400,37.645
2010-12-09,37.814999,37.814999,36.817501,37.122501,12301600,37.122501
2010-12-10,37.1525,37.5,36.709999,37.1525,9740800,37.1525
2010-12-13,37.4725,37.490002,35.945,35.970001,11158400,35.970001
2010-12-14,36.002499,36.162498,34.0,34.080002,22624000,34.080002
2010-12-15,33.9175,34.459999,33.512501,33.93,14452800,33.93
2010-12-16,34.119999,34.645,33.8125,34.3825,8933600,34.3825
2010-12-17,34.5,34.702499,34.099998,34.125,9222800,34.125
2010-12-20,34.195,34.25,33.002499,33.552502,10931200,33.552502
2010-12-21,33.8475,35.0,33.794998,34.7575,11824000,34.7575
2010-12-22,34.564999,34.700001,33.8125,33.8825,10308400,33.8825
2010-12-23,33.802502,33.9725,33.279999,33.860001,8708400,33.860001
2010-12-27,33.810001,33.837502,33.127499,33.502499,6361600,33.502499
2010-12-28,33.692501,33.692501,33.077499,33.330002,4158800,33.330002
2010-12-29,33.362499,33.592499,33.0825,33.237499,5374800,33.237499
2010-12-30,33.1325,33.349998,32.91,33.060001,4775200,33.060001
2010-12-31,32.919998,33.0425,32.415001,33.0,8038800,33.0
2011-01-03,33.282501,34.535,33.282501,34.150002,11284400,34.150002
2011-01-04,34.612499,34.672501,33.349998,33.922501,9003600,33.922501
2011-01-05,34.087502,35.5625,33.875,35.549999,14439200,35.549999
2011-01-06,36.040001,36.172501,35.355,35.834999,11770400,35.834999
2011-01-07,35.834999,35.834999,34.625,35.555,8480400,35.555
2011-01-10,35.252499,35.799999,35.0,35.66,6548400,35.66
2011-01-11,35.967499,35.967499,35.017502,35.279999,6034800,35.279999
2011-01-12,35.732498,35.8475,35.060001,35.41,6154400,35.41
2011-01-13,35.497501,36.32,35.174999,35.962502,9465600,35.962502
2011-01-14,35.75,36.654999,35.692501,36.6175,7626800,36.6175
2011-01-18,36.282501,36.404999,35.68,36.0825,8289600,36.0825
2011-01-19,36.165001,36.209999,34.705002,35.209999,9199200,35.209999
2011-01-20,33.302502,33.927502,32.25,32.947498,20682000,32.947498
2011-01-21,33.209999,33.842499,33.0,33.060001,9462000,33.060001
2011-01-24,32.060001,32.645,31.625,31.9575,16000400,31.9575
2011-01-25,31.4125,31.855,30.5075,30.9925,17782400,30.9925
2011-01-26,31.85,32.27,31.612499,32.072498,10467200,32.072498
2011-01-27,32.435001,32.75,31.8575,32.060001,8052800,32.060001
2011-01-28,32.560001,33.5,32.3475,32.9025,16472400,32.9025
2011-01-31,32.959999,33.110001,32.102501,32.285,9790400,32.285
2011-02-01,32.505001,33.262501,32.0,32.91,8712000,32.91
2011-02-02,32.889999,34.240002,32.880001,33.77,10083600,33.77
2011-02-03,33.7575,34.119999,33.224998,33.5425,7934000,33.5425
2011-02-04,33.822498,34.677502,33.59,34.487499,9096000,34.487499
2011-02-07,34.52,34.674999,34.044998,34.224998,9052800,34.224998
2011-02-08,34.25,34.467499,33.682499,34.075001,8430800,34.075001
2011-02-09,33.8825,34.075001,33.314999,33.612499,6094000,33.612499
2011-02-10,33.290001,34.59,33.075001,34.490002,8619600,34.490002
2011-02-11,34.372501,35.514999,34.025002,35.377499,8576000,35.377499
2011-02-14,35.209999,36.0625,35.209999,35.555,7187200,35.555
2011-02-15,36.272499,36.625,35.377499,35.622501,9969600,35.622501
2011-02-16,35.6875,35.900002,35.384998,35.6875,6031600,35.6875
2011-02-17,35.514999,35.625,35.052502,35.235001,8726800,35.235001
2011-02-18,35.375,35.862499,35.157501,35.77,7945200,35.77
2011-02-22,35.205002,35.424999,33.814999,34.1875,10088800,34.1875
2011-02-23,34.162498,34.672501,32.584999,33.342499,13047600,33.342499
2011-02-24,33.665001,34.0425,33.025002,33.580002,17460000,33.580002
2011-02-25,36.375,37.0,34.322498,34.7075,31779600,34.7075
2011-02-28,34.212502,34.355,32.09,33.067501,27566400,33.067501
2011-03-01,33.165001,33.220001,31.809999,32.012501,18276400,32.012501
2011-03-02,32.125,33.057499,31.75,32.002499,15532800,32.002499
2011-03-03,32.485001,32.919998,32.025002,32.517502,13414000,32.517502
2011-03-04,32.91,32.987499,32.084999,32.4925,15894000,32.4925
2011-03-07,32.244999,32.740002,31.305,32.005001,14676400,32.005001
2011-03-08,31.860001,32.2925,31.549999,31.83,9297200,31.83
2011-03-09,31.645,32.02,31.290001,31.9275,8771600,31.9275
2011-03-10,31.4275,31.985001,30.9375,31.799999,12660000,31.799999
2011-03-11,31.25,32.322498,31.247499,31.967501,8255200,31.967501
2011-03-14,31.405001,32.072498,31.045,31.235001,12072400,31.235001
2011-03-15,30.139999,31.692499,30.059999,31.387501,11552400,31.387501
2011-03-16,31.3475,32.0625,30.7875,31.040001,16580000,31.040001
2011-03-17,31.4725,31.559999,30.522499,30.5825,12206000,30.5825
2011-03-18,31.0375,31.057501,29.415001,30.002501,18676400,30.002501
2011-03-21,30.195,31.5375,29.725,31.105,13904000,31.105
2011-03-22,30.965,31.0525,30.190001,30.372499,12389200,30.372499
2011-03-23,30.227501,30.705,29.752501,30.530001,10310800,30.530001
2011-03-24,31.424999,32.349998,31.15,32.3125,17210800,32.3125
2011-03-25,32.337502,32.560001,31.807501,31.862499,11244000,31.862499
2011-03-28,31.9825,32.237499,31.4125,31.997499,6440000,31.997499
2011-03-29,31.772499,32.360001,31.5275,31.85,8300400,31.85
2011-03-30,31.977501,33.695,31.875,33.622501,16511600,33.622501
2011-03-31,33.1175,33.490002,32.922501,33.395,10954800,33.395
2011-04-01,33.740002,34.172501,33.32,33.529999,11558400,33.529999
2011-04-04,33.650002,33.709999,33.029999,33.5275,5995600,33.5275
2011-04-05,33.282501,33.595001,32.862499,33.4025,9096400,33.4025
2011-04-06,33.549999,33.737499,32.3475,32.857498,10189200,32.857498
2011-04-07,33.342499,33.669998,33.0,33.490002,10424800,33.490002
2011-04-08,33.630001,33.939999,33.375,33.662498,9205200,33.662498
2011-04-11,33.645,34.27,33.5,33.654999,9428000,33.654999
2011-04-12,33.200001,33.357498,32.702499,33.205002,9804400,33.205002
2011-04-13,33.552502,33.797501,33.205002,33.595001,8226400,33.595001
2011-04-14,33.279999,33.599998,33.0,33.255001,7064400,33.255001
2011-04-15,33.327499,33.57,32.8825,33.432499,7830000,33.432499
2011-04-18,33.119999,33.25,32.637501,33.047501,8340000,33.047501
2011-04-19,32.93,33.139999,32.049999,32.6325,10565600,32.6325
2011-04-20,33.700001,35.615002,33.525002,35.52,22222400,35.52
2011-04-21,35.227501,35.497501,34.7425,34.967499,9527600,34.967499
2011-04-25,34.970001,34.970001,34.424999,34.702499,7109600,34.702499
2011-04-26,34.772499,35.1325,34.060001,34.4025,7600000,34.4025
2011-04-27,34.327499,34.8125,33.445,34.755001,7540400,34.755001
2011-04-28,34.525002,34.75,33.7775,34.462502,6931200,34.462502
2011-04-29,34.372501,34.875,34.067501,34.650002,5418400,34.650002
2011-05-02,34.904999,34.924999,33.884998,34.047501,7436000,34.047501
2011-05-03,34.002499,34.077499,32.945,33.415001,7590800,33.415001
2011-05-04,33.310001,33.380001,32.287498,32.9175,8614800,32.9175
2011-05-05,32.4925,33.200001,32.465,32.7425,7002800,32.7425
2011-05-06,33.4025,33.682499,32.672501,33.080002,6811200,33.080002
2011-05-09,33.147499,33.3475,32.672501,33.177502,4015600,33.177502
2011-05-10,33.389999,33.900002,33.192501,33.842499,5544400,33.842499
2011-05-11,33.889999,34.247501,33.255001,33.595001,4794000,33.595001
2011-05-12,33.625,34.0,32.932499,33.872501,5315200,33.872501
2011-05-13,33.939999,34.397499,33.68,33.727501,5549600,33.727501
2011-05-16,33.224998,33.470001,32.005001,32.240002,11210000,32.240002
2011-05-17,32.165001,32.705002,31.8125,32.52,11950400,32.52
2011-05-18,32.547501,33.720001,32.525002,33.5625,10472000,33.5625
2011-05-19,33.970001,34.357498,33.387501,33.952499,17094000,33.952499
2011-05-20,36.310001,37.43,35.625,36.6525,42194400,36.6525
2011-05-23,36.052502,36.695,35.807499,36.325001,15792000,36.325001
2011-05-24,36.947498,38.087502,36.8825,37.650002,22720800,37.650002
2011-05-25,37.134998,37.967499,37.075001,37.732498,11510400,37.732498
2011-05-26,37.247501,38.497501,37.247501,38.389999,11574800,38.389999
2011-05-27,38.247501,38.3125,37.752499,37.825001,9974800,37.825001
2011-05-31,38.0075,38.064999,37.2775,38.064999,8816000,38.064999
2011-06-01,37.697498,38.009998,36.299999,36.445,12743600,36.445
2011-06-02,36.400002,37.275002,36.272499,37.060001,7535600,37.060001
2011-06-03,36.119999,36.7425,35.965,36.247501,7051200,36.247501
2011-06-06,36.119999,36.345001,35.490002,35.7075,7246800,35.7075
2011-06-07,35.825001,35.945,35.227501,35.509998,7660400,35.509998
2011-06-08,35.432499,35.6175,34.625,35.07,7897600,35.07
2011-06-09,35.442501,35.6875,35.002499,35.455002,7746000,35.455002
2011-06-10,35.490002,35.869999,34.849998,35.075001,6952800,35.075001
2011-06-13,35.147499,35.227501,34.195,34.275002,9584400,34.275002
2011-06-14,34.884998,35.580002,34.532501,35.154999,9129200,35.154999
2011-06-15,34.747501,35.345001,34.362499,34.865002,12715200,34.865002
2011-06-16,34.837502,35.110001,33.674999,34.32,11200800,34.32
2011-06-17,34.860001,35.095001,34.560001,34.8825,13312000,34.8825
2011-06-20,34.845001,35.084999,34.6325,34.862499,5276400,34.862499
2011-06-21,35.0275,36.075001,34.912498,35.98,8945200,35.98
2011-06-22,35.797501,36.192501,35.275002,35.537498,7700000,35.537498
2011-06-23,35.002499,36.209999,35.002499,36.119999,8477200,36.119999
2011-06-24,36.0425,36.400002,35.3675,35.759998,11150400,35.759998
2011-06-27,35.567501,36.422501,35.264999,36.272499,5836800,36.272499
2011-06-28,36.342499,37.0,36.205002,36.842499,5732800,36.842499
2011-06-29,36.927502,36.927502,36.282501,36.5625,4934000,36.5625
2011-06-30,36.787498,37.4025,36.724998,37.244999,7045200,37.244999
2011-07-01,37.327499,37.630001,36.830002,37.3475,6382800,37.3475
2011-07-05,37.4025,38.564999,37.115002,38.487499,8169200,38.487499
2011-07-06,38.432499,39.112499,37.9925,39.072498,10210400,39.072498
2011-07-07,39.372501,40.005001,39.272499,39.532501,9954000,39.532501
2011-07-08,38.612499,39.237499,38.5,39.1675,7116400,39.1675
2011-07-11,38.6525,39.087502,37.922501,38.107498,8061600,38.107498
2011-07-12,38.275002,38.369999,37.625,37.724998,5363600,37.724998
2011-07-13,38.110001,38.645,38.092499,38.220001,5298400,38.220001
2011-07-14,38.205002,38.685001,37.505001,37.619999,6653200,37.619999
2011-07-15,38.075001,38.630001,37.775002,38.599998,6164400,38.599998
2011-07-18,38.439999,38.5,37.73,38.157501,4457200,38.157501
2011-07-19,38.4175,40.029999,38.384998,39.830002,8363200,39.830002
2011-07-20,40.017502,40.017502,38.345001,38.709999,7633600,38.709999
2011-07-21,38.4725,38.610001,36.564999,36.772499,13632000,36.772499
2011-07-22,36.982498,37.98,36.810001,37.602501,8096000,37.602501
2011-07-25,37.177502,37.91,37.127499,37.407501,4981600,37.407501
2011-07-26,37.5,38.1525,37.014999,37.9375,7111600,37.9375
2011-07-27,37.7925,37.797501,36.2575,36.3475,9347600,36.3475
2011-07-28,36.575001,36.897499,36.0625,36.525002,8042800,36.525002
2011-07-29,36.1675,36.494999,35.400002,36.177502,7013600,36.177502
2011-08-01,37.142502,37.235001,35.625,36.415001,7644400,36.415001
2011-08-02,36.142502,37.142502,35.797501,35.814999,7222800,35.814999
